name,photo,location,rate,title,text
Steve,NO photo,No Location,1 star: Bad,I will be moving to a different cloud storage service,Dropbox used to be useful because it was easy to use but gradually it has reduced functionality of the Basic plan and made it increasingly difficult and complicated to share files. It used to be simple now it is not. I will be moving to another cloud service.
Kian Ransom,NO photo,No Location,1 star: Bad,Far and away the WORST platform I have,Far and away the WORST platform I have ever had the misfortune of having to use. Over five years Ive had nothing but constant headaches from dropbox. Terrible speed download failures at the very last few mins of 45 min downloads UI issues CONSTANT pop ups trying to get me to upgrade. HATE HATE it and only use if when a client insists.
platogb,NO photo,No Location,1 star: Bad,Dont bother,Had used it in the distant past and decided to try it again for one purpose: to upload and then be able to share a data heavy ct scan of an injury to my leg with my Doctor who is helping me remotely.Uploaded the file and then tried to share.I was told to respond to the verification email I received in order to proceed but this email never arrived.I did all the things recommended: Put the dropbox address into my favourite contacts Checked all other folders etc etc24 hours later still no verification email and no way therefore of actually using Dropbox for its intended purpose the clue is in the name.......I was apathetic about this and prepared to wait a little longer until I received a nudge message from Dropbox telling my my account was nearly full and encouraging me to upgrade to the paying version.Since I had been unable to actually use it this really mobilised me and I decided to delete the app.Of course this is no simple matter  you have to jump through the hoops to actually get this thing off your system.So in summary:unusable appvery difficult to uninstallResulting user benefit: less than nothing since it actually wastes a lot of your time for zero benefit so you end up worse than nothing.Dont bother.
Matt Winters Excavation LLC,NO photo,No Location,1 star: Bad,Im on a trial version,Im on a trial version   NO CUSTOMER SUPPORT I will not deal with a company that does not provide a phone number to talk with a REAL PERSON rather than A chat   Done with it.  When I purchased the trial DROPBOX immediately synced all of my files/ folders/ network info to the cloud  Im trying to find out how to download these files as they were set up on my File Explorer
Erick LAH,https://userimages.trustpilot.com/5c4ed60c62acfb828968afe8/73x73.png,No Location,1 star: Bad,Synonyme de PERTE DE DONNEES,Synonyme de PERTE DE DONNEES non synchronisation donc documents non sauvegards  retravailler sans cesse  retrouver sans cesse. Attention ne vous faites pas avoir. Encore pire si vous payez.
Brad Samuels,https://userimages.trustpilot.com/5da2ef4aa82b2e69e60b2519/73x73.png,No Location,1 star: Bad,Funds donestic terrorists,NO COMMENT BODY
J Murr,NO photo,No Location,1 star: Bad,Used to be good until the millenials,Used to be good until the millenials no doubt started coding vegan...unusable...nothing works now
Darryl Brown,https://userimages.trustpilot.com/5f699723ddf9d64a78017d03/73x73.png,No Location,5 stars: Excellent,Very easy,Very easy secure and convenient
Ava Hughes,https://userimages.trustpilot.com/5f5f5d0dec01bb23640df88d/73x73.png,No Location,5 stars: Excellent,Excellent App,During this digital age it is a must for us to have a place to conveniently and safely store our files. That is why Dropbox is really great because it caters that need. I have been using it for many years and I never encountered a problem so far.
Consumer,NO photo,No Location,1 star: Bad,I am so totally disappointed with DROPBOX,I am so totally disappointed with Dropbox Customer Service.  Our IT Company set up our Dropbox account which worked perfectly until we changed IT Companies.  They had set up the account in their name in lieu of ours and the cost was incorporated into our billing. Sounds like a simple change of plan ownership and billing but NOT WITH DROPBOX.  I have been working diligently for 3 months to get this rectified and it is still not resolved and I cannot find a live person in which to speak  EVERYTHING is handled by email or online chat and never the same person.  Obviously we have had to go around the Mulberry Tree several times and just as I think we are making progress it all changes again.  You would think they would want our business but apparently losing clients is not an issue for Dropbox.  I urge EVERYONE to change to another Storage Source as soon as possible.
Steve G,NO photo,No Location,1 star: Bad,I hate dropbox possibly more than any,I hate dropbox possibly more than any other app on earth. Ive been paying good money for this thing for years and it cant do the one thing it needs to do  backup reliably. Im stuck with some folders on the web that wont sync to the local computer a service that inexplicably moves my dropbox folder and syncs it to nothing so that everything gets erased and a service that offers me completely useless extra features that Im not even remotely interested in. Im surprised they havent added a social media app or chat to it. Do one thing and do it well. You cant even do basic stuff like telling it to back up one folder NOW so it prioritises that so you can send it to a client and disconnect. Im currently trying to get this awful thing gone and migrate  but just getting everything off the cloud and local so I can back up with something else is a challenge in itself. This is the first piece of software that actually makes me angry. I realised it was time to go when I was manually backing up everything to other external drives  just in case dropbox decided to go into a meltdown and erase everything. The best thing Dropbox could do is press backspace repeatedly for the past 3 or 4 years until they had something that actually worked.
Authorized Services LLC,NO photo,No Location,1 star: Bad,There is absolutely NO Customer,There is absolutely NO Customer Service.  I canceled my account and they are still billing me.  Ive tried to get back into my account to take my credit card off but it doesnt exist anymore.  I finally got a live person on Chat and they hung up on me.  Run very far away   BBB is next
Daniel de Bianchetti,NO photo,No Location,1 star: Bad,por probar Business me fastidiarion la cuenta Plus de 2 TB,Usuario de dropbox por mas de 15 aos y de pago desde hace 3... pero no por mucho mas tiempo.Hace poco decid probar la cuenta Business de tanto que insistian con la prueba gratuita de 30 dias y ante la necesidad de  ampliar usuarios Y CON EL COMPROMISO DE DROPBOX DE QUE SI NO ME INTERESA VUALVO A MI PLAN accedo a la prueba. Luego de la prueba de un mes decido no continuar con el Business ya que no me daba ninguna ventaja. Y ni bien se cancela la prueba me dejan bloqueado mi plan Plus de 2TB 119 ao. Asi de primera me dice la plataforma que o pago el Plan bisiness o vuelvo al plan de 2GB el gratuito. Soporte Alguine lo conoce Oyeron hablar del soporte DropboxCUIDADO CON PROBAR EL PLAN BUSINESS lo lamentble es que en mi plataforma figura vigente mi plan Plus pero la empresa dropbox  no la ve ni me la restablece. Hay muchas opciones en el mercado para sustituir a este psima nube de problemas y hasta por mejor precio No hay mal que por bien no venga...
Joseph Griffin,https://userimages.trustpilot.com/5ef855afeaec708bbd460a02/73x73.png,No Location,4 stars: Great,It helps me manage all the information,It helps me manage all the information we share with my team. And I really appreciate how easy and convenient it is. However the app sometimes crashes or takes a lot of time to load but I hope someday this can be improved.
Bob Farley,https://userimages.trustpilot.com/5f5cd68db497ccfce5ed65b7/73x73.png,No Location,4 stars: Great,Great service but terrible customer,Great service but terrible customer service
bingo 2,NO photo,No Location,1 star: Bad,The most intrusive app ever,The most intrusive app ever I find their marketing approach too shady Like since the start the basic free plan is almost unnoticeable to push you pay for a service that you might not need at all as an individual. as soon as you start it asks you to dowload the app on mac on iphone everything do you want me to upload my soul to your system as well Thank god i quickly realised that i might lose all my data if i delete it from their system so i stopped the SYNC quickly and left the app.
Matt Apple,https://userimages.trustpilot.com/5f58e8de33d7e35c8e3ed9d9/73x73.png,No Location,1 star: Bad,Dishonest business behaviour,First of all you get lured in with a ad that promise you absolute free web storage...after 2 clicks youll find yourself on a site which gives you 2 payment modelsone cost you about 20 bucks and the second around 39 a month so what is free about that  ...well what kind of a shady business behaiviour is that 
Mike,NO photo,No Location,1 star: Bad,Quite disappointed.,Quite disappointed.Our company got charged 120 for Dropbox services.Unfortunately we do not know who started this contract.Their tool to find out which account is connected to the transaction did not help.Their support line and Sales team are telling me to visit their support page.Whilst their support page is only accessible to people who have an account.Asked a Sales rep for a phone call but they never ended up calling. How is one even supposed to cancel their services
Roger Sinek,https://userimages.trustpilot.com/5eb7ac74cdab043a90b5125a/73x73.png,GB,5 stars: Excellent,I had an easy time using their website,I had an easy time using their website and application. It was pretty fast transferring all my documents to my Dropbox and also some photos. It is safe and I love using it.
Jeanfrancois LANGE,NO photo,No Location,1 star: Bad,une veritable prison,une veritable prison vous tes dpossd de vos fichiers bureau etc et mis  mal par des limites de stockage qui devient payant   ....  bannir pour les envois penser we transfert
Mikey,NO photo,No Location,3 stars: Average,Lousy customer service,Nice fast android app.  Runs seamlessly in background.  A number of features dont seem to ever work properly however and the customer service is about the worst Ive experienced from a payasyougo software company.   Plan on spending a couple of weeks going back and forth with entry level support reps asking for screen shots.  No ability to get your problem resolved now.   Shame on you Dropbox
NigeAE,NO photo,No Location,4 stars: Great,I have been using Drop Box for sometime,I have been using Drop Box for some years now and have found it to be a simple to use and relatively pain free system. The problem is DropBox Teams account has a minimum of 3 licenses when I only really need two. So I am paying a lot more than I need pay.I also find the system slow when I am uploading huge amounts of data.I think a lot of the reviews I have been reading are harsh. Certainly better than using some dodgy Chinese app.
Lovable Drifter,NO photo,No Location,1 star: Bad,Dropbox are not a company I would place,Dropbox are not a company I would place faith or value in with paid services or security of your data. My account was hacked and all of my data was uploaded to Dropbox and removed from hard drive by choosing the new option launched this year I do not recall doing this. Then my passwords were changed to Dropbox not by me. As my project was terminated related to COVID I suddenly lost access to my email only to discover the passwords to Dropbox werent working. Dropbox after dozens of chat box and dozens of emails ignored me and just placed me on a circular of chat box and promises to have a senior specialist respond after three weeks and maybe 40 hours I gave up. A disgraceful technology company and a waste of the 200 I pay annually to ensure my data. I cannot understate how appalling and revolted I feel as an Australian consumer. Do not trust this flimsy tech enterprise. Ive lost all my medical and health records and two years of work on a project maybe 100000 or so in value. I hope to file a legal claim against Dropbox and have them answer to the regulatory protections under Australian laws. I sincerely hope they crumble and burn. Put your data somewhere else safe with real humans
Ian Feinberg,NO photo,No Location,3 stars: Average,Dropbox frequently locks up.,When uploading multiple video files they have to upload one at a time otherwise Dropbox locks up. Also when uploading a folder there is often an error. You really need to monitor Dropbox closely to make sure everything uploads and downloads correctly.
Tim Feldballe,NO photo,No Location,1 star: Bad,Simply put the app itself is ok but,Simply put the app itself is ok but there is no customer service at all except through email which in our case ended up taking 3 months to resolve an issue that would have taken 15 min to resolve if there was just a live person to talk to. Im actually surprise they are still in business.  Stay away.  We moved everything to a competitor platform
Jo Procter,https://userimages.trustpilot.com/55b42d7f0000ff0001cf4691/73x73.png,No Location,1 star: Bad,Companies should not be allowed to be,Companies should not be allowed to be in business if they do to offer human customer support. There is no way to solve my problem with Dropbox other than to talk to a tech person at the company. My advice to everyone is to get out of Dropbox as soon as they can before they have a problem.
Kevin McCarthy,NO photo,No Location,2 stars: Poor,What we have here is a failure to communicate...,I am astonished that people who provide a communications platform dont think their own communications are important.  Why dont these tech companies hire an English Major I understand they work quite cheaply to review their user instructions and their website  I teach management at a local university.  The Dropbox management team would likely fail my introductory course.
Alexander,NO photo,No Location,1 star: Bad,Dropbox App is Awful,The Dropbox app is nothing more than an invasive clunky asinine by design program that should not be used whatsoever. This program takes all the files on your PC for some ungodly reason and forces them into its own files to make managing them easier... like I needed help managing images. To whoever has this app downloaded Uninstall immediately but PLEASE be careful as again this app shoves your computers files into its own. If you delete the Dropbox folder before emptying it first Chances are you may very well wind up deleting all your data without meaning to. In any event dont bother using this application.
Jennifer A.,NO photo,No Location,1 star: Bad,Customer service is abysmal,Customer service is virtually nonexistent.We signed up for a free business account trial. When the trial ended it put a lock on our PAID account and we did not know why it wasnt working. We reached out to customer service. They did respond and told us our account was locked because the trial had ended which is ridiculous b/c we were PAYING for it. They said they could not refund us for the months we could not use it but that they could refund us for the current month. Well since it began to work we figured out how to unlock the account at this point we wanted a refund for the prior month so we could actually use it  FINALLY. But they did not listen and only refunded us for the current month which downgraded our account. So now we could finally use the account weve been paying for for 5 months but we cant b/c they cancelled and refunded for the current month. AWFUL customer service. 0 stars. Seriously.
Giancarlo Ascanio,https://userimages.trustpilot.com/5f4cba58da53a414f5f823fa/73x73.png,No Location,1 star: Bad,Supporto da terzo mondo,Ho lavorato sempre bene con dropbox finch ad agosto mi hanno disabilitato senza preavviso il mio account PLUS quindi a pagamento...ho contattato 5 volte il centro supporto via mail 3 via twitter ed 1 via facebook MA NON HO MAI RICEVUTO RISPOSTA. ad oggi laccount  ancora disabilitato e sostanzialmente sto pagando per un servizio che non ho e che mi serve
JC,NO photo,No Location,1 star: Bad,Do not download this service,Do not download this service. It synced all my files without warning or permissions. Then after doing this told me that if I deleted anything it would delete from my hard drive. It gave constant popups on my laptop because Id filled all my space. I started to get nervous that itd do something crazy and decided to delete my account. I was suspicious itd delete all my stuff so I backed up on an external which is what I should have done in the first place. And Im glad I did because it flushed EVERYTHING off my laptop. Programs picture and documents. Do NOT use this service. Youre much better off just uploading to Drive or buying an external.
Rachel Murphy,https://userimages.trustpilot.com/5f4b1c9f620c7567b66397f7/73x73.png,No Location,5 stars: Excellent,Use it for work all the time and they,Use it for work all the time and they stay buggin asking me to leave a review
Michael Chase,https://userimages.trustpilot.com/544aa61d0000640001922ce7/73x73.png,No Location,1 star: Bad,Dropbox used to be an excellent service,Dropbox used to be an excellent service but it is now so illogical and complicated that its almost impossible to use.
Andreas Link,https://userimages.trustpilot.com/5cdcf9aee002fe1c3f17e1d9/73x73.png,No Location,1 star: Bad,ACHTUNG ABOFALLE,ACHTUNG ABOFALLEHabe das Upgrade getestet man erhlt eine Besttigung dass das Probeabo ausluft aber nicht dass automatisch ein upgrade erfolgt. Ausserdem hatte ich sofort gekndigt jedoch wurde trotzdem eine Rate abgebucht. Dropbox ist technisch Schrott und eine Abofalle. Ich werde nun alle Accounts lschen.
William Timi,https://userimages.trustpilot.com/5e9831bb0ebc96199c04cfa6/73x73.png,No Location,4 stars: Great,They make my job easier and faster,They make my job easier and faster. I love using their website and application because it is not difficult to use. I highly recommend Dropbox for Backup Syncing and Sharing of files.
Holger Korsten,https://userimages.trustpilot.com/5f40d30822cf9757710ff11a/73x73.png,No Location,1 star: Bad,Eine ABSOLUTE KATASTROPHE,Eine ABSOLUTE KATASTROPHE Support UNTERIRDISCH Funktionalitt der App seit ber einem Jahr nicht mehr gegeben die Syncronisierung funktioniert nicht mehr und damit ist das Tool vllig unbrauchbar geworden Seit 1 Jahr erhalte ich keinen vernnftigen Support und habe meine Business Dropbox jetzt gekndigt. Habe fast alle meine Daten 25TB dort jetzt gelscht. Auch mit nun noch 300GB an Daten funktioniert die Syncronisierung nicht und das Tool strzt ab. Eine Hilfe vom Support ist hier absolut berhaupt nicht zu erwarten. Sie meinen Ihr Tool wrde funktionieren es lge an mir. Doch auf 2 unterschiedlichen Rechnern funktioniert es seit ber einem Jahre nicht mehr ordnungsgem. Was ist nur aus diesem Unternehmen geworden War einmal meine erste Wahl wenn es um solche Cloud ging. Jetzt DEVINITIV NICHT ZU EMPFEHLEN
mr.x,NO photo,No Location,3 stars: Average,Warning: Do not use the new backupfeature,Warning: Do not use the new backupfeatureI have the cheapest paid version. For Basic dropbox it work fine. Two times over years is messed with my files. Support solved the issues  after a lot of effort but they solved it.So thats pretty good.But dont use new features from dropbox. They tend to mess with your filesystem. I have seen this a couple of times. Selective sync ...The new backup actually moves all your files in Documents meaning a lot of apps can not see their files. That is a no go...
Frederikke,NO photo,No Location,1 star: Bad,DropBox ruined my Mac,DropBox ruined my Mac When I had enough of alle the messages from DropBox I uninstalled the program and it damaged the basic software in my computer. A perfectly good computer is now ruined and Im in the middle of my exams
Peter Lawrenece,NO photo,No Location,4 stars: Great,Great for business,Great for business  great that they lowered he amount of users you can have
Ann Medis,https://userimages.trustpilot.com/5f3c22eff7de5c65d45cecfd/73x73.png,No Location,1 star: Bad,The most difficult cloud service to,The most difficult cloud service to use.   Not user friendly at all.    Its ridiculous the hoops you have to jump through to transfer/share a folder.     Looking for a different provider.
Stephane Moranzoni,https://userimages.trustpilot.com/5f3aa50aff765d3e474e64ce/73x73.png,No Location,1 star: Bad,Dropbox na jamais couter ses clients,Dropbox n coute pas  ses clients. System archaque et surtout pour vos photos et videos. pas de possibilit de supprimer les images et video et de slider pour regarder plus rapidement. impossible davoir une rponse a cette solution.cest juste pour garder des documents word et excel .
Patrick Sturz,https://userimages.trustpilot.com/5f3995765b531d45ce5e5def/73x73.png,No Location,5 stars: Excellent,Very useful and helpful app,Very useful and helpful app. Use it everyday recomend
Nik Saiful Bahri,https://userimages.trustpilot.com/5b810f364de5666d346fbc60/73x73.png,MY,1 star: Bad,I use so long now all file delete,I use so long. Before this free storage. I save all file there bcoz i dont have thumb drive. Just open 2020... all my file gone delete forever. No warning. Cannot restore. Now they charge monthly high fee.Come all the world... Leave this company. Better save in Google Drive free storage permanent forever.
Andreas Kretzschmar,NO photo,No Location,1 star: Bad,man bekommt keinerlei Untersttzung von,man bekommt keinerlei Untersttzung von dem Unternehmen es ist kein Kontakt mglich habe eine Basic Version und die Software hat ungewollt einen ganzen Ordner in Dropbox gezogen jetzt immer das Angebot des Upgradein der Hilfe soll ich andere Kunden fragen oder per Twitter mit irgendjemandem korrespondierenFinger davon wenn nicht studierter IT ler
Thomas Horndal,NO photo,DK,1 star: Bad,Reduceret til skrald,Har virket fantastisk i over 10 r men med de sidste ndringer der er indfrt er programmet blevet et irritationsmoment i stedet.Begrnsningen p de tre enheder var irriterende men endnu vrre er at Dropbox er begyndt at sikkerhedskopiere desktoppen fra bde stationr og brbar som hos mig fylder en hel del og jeg kan ikke se at jeg kan sl det fra og derfor minder den mig konstant om at opgradere og om at jeg har opbrugt pladsen.S har programmet reduceret sig til skrald og jeg flytter platform  i frste omgang til Onedrive indtil jeg finder ud af om det er bedste sted til deling af filer fremadrettet.Afinstallerer om lidt.
PoulAnker Sandvad,https://userimages.trustpilot.com/514074a100006400013401e2/73x73.png,No Location,4 stars: Great,OK tros kritik,Jeg bruger tilfldigvis Dropbox til at sende software som jeg bruger til mit freelancer arbejde.2GB passer ligeKritikken af Dropbox ser dog ganske seris ud.
Tom Lohr,NO photo,No Location,1 star: Bad,DropBox hijacked and then lost my files,When DropBox last updated their system automatically began transferring my files via the sync function to their cloud. This is something I did not want initiate or authorize. When my files began to disappear from my desktop I stopped the DropBox program. All of my desktop data was lost and they cannot get it back for me. A total data wrecker. If you have dropbox delete it and get something more reliable and trustworthy.
Frank Robinson,https://userimages.trustpilot.com/5f29cf0b2e5ba95a621cd21c/73x73.png,No Location,1 star: Bad,Dropbox Support is  effectively non existent......,Thank you for contacting Dropbox Support.3:55 PMI have been locked out of my dropbox plus account for 4 days and have generated numerous tickets without proper response. My Message is Account Disabled and I cannot reset password or access my account on any device. My email is ceoserv  Thank you for your help3:57 PMNeed help Thinking face4:52 PMHelp us help you Please answer the following questions.Do you have a ticket number4:52 PMyesTicket 11173678: DB: ACCOUNT DISABLED4:53 PM4:58 PManybody thereNo5:04 PMDropbox  Contact Dropbox supportdropbox.comHave you checked Dropbox  com/support for an answer to your question5:04 PMof course ....is this a robotthere is no answer 4 daysi need human interventioncan you reference my ticket or not5:06 PMTHIS SUPPORT IS WORTHLESS5:08 PMI HAVE YEARS OF IMPORTANT FILES AND HAVE LOST VALUABLE TIME WITHOUT ACCESS.
Hugo Nadeau,NO photo,No Location,1 star: Bad,Le soutien technique et administratif,Le soutien technique et administratif de Dropbox est plutt nul. Jai vcu un pisode o jai annul un essai gratuit avant la fin de la priode et ils mont tout de mme charg un montant par mois pendant un bon 6 mois aprs a. Mes nombreuses tentatives de communiquer avec eux mont menes  aucune rponse. Jai d my prendre  deux fois avec mon institution financire pour annuler les paiements sur ma carte de crdit car la premire fois ils ont simplement repris le montant total du remboursement sans jamais me contacter plusieurs mois de service. Ma solution finale a t de combiner un remboursement de mon institution financire en changeant mon numro de carte de crdit... Sinon lapplication et le service fonctionnent assez bien quoi quil y a parfois des bugs gnants comme des fichiers ou dossiers qui reviennent  linfini quand on essaie de les effacer. Aussi le site de Dropbox prsente un interface parfois trs mal prioris par exemple un bouton tlcharger cach tandis que des boutons sans intrt comme filigrane ou envoyer pour signature sont mis en avant plan. VraimentAh oui aussi ils ont cette trs dsagrable politique qui compte lespace que chaque dossier partag pour chaque personne qui le partage. Exemple : Vous avez un dossier d1 Gb que vous partagez avec 3 amis. Chaque ami aura 1 Gb dutilis sur son compte et se verra refuser laccs de ce dossier si lespace lui manque. a fait ainsi 4 Gb dutilis pour 1 Gb rel.
Ralf,NO photo,No Location,5 stars: Excellent,I have been using Dropbox for years and,I have been using Dropbox for years and it has never let me down Great sync  sharing tool I dare say: the best I have come across.
Kenny West,https://userimages.trustpilot.com/5ee9cacdd6502c99f2d2e8f8/73x73.png,No Location,4 stars: Great,Dropbox helps me a lot whenever I dont have my flash disk,Dropbox helps me a lot whenever I dont have my flash disk with me because I always forgot it. You just have to make your internet is working well.
Edward Rodriguez,NO photo,No Location,1 star: Bad,Ripoff,I canceled Dropbox months ago and today I found a charge for 119 out of my PayPal account. I would not trust this company or use them again They make it next to impossible to contact them and are only interested in taking your money
Harprit Bola,NO photo,No Location,1 star: Bad,Webversie van dropbox is vreselijk,Webversie van dropbox is vreselijk  onhandige navigatie lange laadtijden en geen knoppen om bestanden gemakkelijk te openen op de desktop. dan hebben we het nog niet eens over de desktop versie van dropbox. deze is al helemaal mooi: ze hebben dan een mooie functie waarmee je alleen bepaalde bestanden downloaden en de rest laat je online staan. werkt helemaal niet zoals het hoort. ik had 1 map gemarkeerd als downloaden  en voor ik het wist stond mn schijf vol van dropbox bestanden waar ik nooit om heb gevraagd. verwijderen was ook niet mogelijk  dus maar dropbox weer verwijderd.
Patricia Rodriguez,https://userimages.trustpilot.com/5f11e8b05792f3f53bee8e05/73x73.png,No Location,5 stars: Excellent,Dropbox is awesome,Dropbox is awesome. Great product. As a local San Gabriel law firm Rodriguez Law Group Inc. appreciates being able to store and send large files through drop box.
Candice,NO photo,No Location,1 star: Bad,Stopbox,I found Dropbox fine for storing files on however their customer service is absolutely appalling. Even though I cancelled my subscription in ample time Dropbox are continuing to charge me each month. Of course they conveniently have no records of my transactions. It is impossible to resolve this with customer service staff. They will give you a stock answer with a lovely list of excuses which ultimately point the finger of blame at you instead of where it belongs at them. I would avoid Dropbox at all costs Save yourself money and time by choosing another provider.
Andres RZLG,https://userimages.trustpilot.com/5b8433404de5666d34ba5c14/73x73.png,No Location,5 stars: Excellent,Rodriguez Law Group,Rodriguez Law Group Inc. a firm in San Gabriel C.A uses dropbox because it makes file sharing easy. We have not experienced any issues with Dropbox and we are thankful for their service.
Chacalcolik,NO photo,No Location,1 star: Bad,Bouton contacter lassistance technique faux,Jaimais bien Dropbox jusqu ce que je narrive plus me connecter avec mon mot de passe. Je fais rinitialiser le mot de passe je demande lenvoi du courriel mais je ne reois jamais ce  de courriel.Impossible de parler  qui que ce soit afin davoir un soutien technique. Seulement des onglets dAssistance qui te font cliquer sur un nouvel onglet qui temmne vers un nouvel onglet jusqu ce que tu tournes en rond. Leur bouton contacter lassistance technique ne permet pas de contacter lassistance technique 
Richard Leahy,NO photo,No Location,1 star: Bad,Makes it impossible to cancel your,Makes it impossible to cancel your account. Makes you jump through ridiculous amount of hoops to cancel your account so that they can keep charging you every month
Alexander,NO photo,No Location,1 star: Bad,Mehrere Jahre gut jetzt nicht mehr,Habe Dropbox ber mehrere Jahre problemlos genutzt und bin mit dem im Vergleich doch recht niedrigen SPeicherplatz ganz gut ausgekommen. Habe hauptschlich meine Uni Sachen aus dem aktuellen Semester drauf gespeichert. Leider wurde zwischenzeitlich heimlich eingefhrt dass nur noch 3 Gerte angemeldet werden knnen. Da ich aktuell 5 Gerte nutze kommt Dropbox nicht mehr in Frage. Der Fehler tritt brigens nur auf wenn ein neues Gert hinzugefgt wird was bei mir der Fall war. Zudem wird man fast schon gezwungen sich ein kostenpflichtiges Upgrade zu holen. Nicht mit mir
Lo,NO photo,No Location,2 stars: Poor,You cant just download files,You cant just download files or folders that are larger than the space you currently have available in your personal account even though they may have been shared with you. A measly 2gb is the default so you are forced to provide your CC info and get a free trial for 14 days just to download something that could be 2.01GB. Why would you pay 150 for a year of storge just to download 3gb of data that I dont want to shave to my dropbox account. This service is complete garage and I will never use it again and I will not accept dropbox links from other people EVER. I use a lot of storage platforms and this by far the worst.
Thomas M,NO photo,No Location,1 star: Bad,Dropbox ist  das denkbar schlechteste Tool,Dropbox ist aktuell das denkbar schlechteste Tool um Daten auszutauschen. Das liegt vor allem an der ungengenden usability. Dopbox ber das Webportal zu nutzen funktioniert gar nicht. Die App frisst sich so sehr tief in das System dass es die gedamte Dateienverwatung beeintrchtigt. Leider gibt es noch einige  ltere  Kollegen die dropbox nutzen.
Johanne Diotte,https://userimages.trustpilot.com/5eb053cbedce2eb80b337269/73x73.png,No Location,1 star: Bad,Stratagme infme une vraie prise dotage,Je nai malheureusement pas consult ce site avant de tlcharger Dropbox version gratuite je me suis plus tard traite de tous les noms doiseaux.Sachez que LE CONTENU de votre ORDINATEUR sera AUTOMATIQUEMENT transfr sur Dropbox ds le chargement et bonne chance pour trouver comment le supprimer de Dropbox. Leur version gratuite est carrment de la fausse publicit : ils surchargent votre Dropbox afin que vous vous inscriviez  leur upgrade payant celuil. PIRE : quand vous essayez de supprimer vos dossiers personnels de votre Dropbox un message vous avise que cela SUPPRIMERA GALEMENT le contenu sur votre ORDINATEUR Jai donc pass la journe entire  transfrer le contenu de mon ordinateur sur un disque mobile pour pouvoir supprimer mes dossiers sur Dropbox et bonne chance pour trouver comment...Au final le message tait une arnaque pour vous prendre en otage. JAMAIS RIEN VU DAUSSI DGUEULASSE comme stratagme. SOYEZ VIGILANTS et nadhrez pas  leur stratagme infme. Ils ne mritent mme pas ltoile que jai d leur attribuer...
Herman A,NO photo,No Location,1 star: Bad,It will hijack your computer,It will hijack your computer. If you dont know what you are doing  you may loose all your files. An IT guy saved mine.
Marc,NO photo,No Location,1 star: Bad,Expensive and unreliable tool I lost my data with this crap tool.,Dropbox smart sync is not working properly and it corrupts data from its own backups. To my great regret I had to experience this.Backups I placed on an external hard drive were no longer readable after I removed them from the dropbox. PDF files were suddenly no longer recognized or considered damaged Ditto for Microsoft files.
Amanda Rich,NO photo,No Location,1 star: Bad,Idk if Its safe like all other site,Idk if Its safe like all other siteNeed to payNeed to be updated and fixed Having trouble with the site
wizzo,NO photo,GB,1 star: Bad,Awful is the word.,Awful is the word.Pls stay away.. They definitely dead.. Totally useless.
Adi,NO photo,No Location,1 star: Bad,Bad Worse Worst awful,I might run out of words to express how bad dropbox service is. The fact they have not replied to a single review here shows how much they care. They are the worst. Even with paid service they are appalling like horribly bad.
Chris E,NO photo,No Location,5 stars: Excellent,For now its good user experience,For now its good user experience for working with my files on all my devices as long as they arent in ecosystem. But subscription plans more expensive than the competitors. So I still using my free plan with limited GB. But Im satisfied.
Caussanel,NO photo,No Location,1 star: Bad,Leur version Beta est une escroquerie,Leur version Beta est une escroquerie qui sauvegarde vos documents bureau et tlchargements sans que vous puissiez le modifier. Impossible de les dcliquer et continuer
Sarah,NO photo,No Location,1 star: Bad,Hiding with No Customer Service Phone Number Nor an email made easy you have to search high and low to find ,A business that takes this amount of money from people worldwide that cannot provide a customer service phone line should not be allowed to be in business. They overcharged me and see how long it takes you to find an email address to contact them Its clearly done on purpose. The jump from free to a subscription is ridiculous. Very unprofessional company that needs a massive overhaul  Governments need to get involved that if there is no single phone number available to purchasing customers then that company should be not allowed to operate.If they are not making enough money to provide that when charging so much they should be taken to court for illegal practises. The amount of money they would be stealing because customers cannot contact them would be outrageous  Everything is complicated and leads you up the garden path except taking your money 
Alan Chance,NO photo,No Location,1 star: Bad,This is so sad,This is so sad.  I used to love Dropbox and recommend it to all my friends. I wanted a system that stored all my files exactly as created mainly in MS Word and Excel and let me use them across several devices PC and Apple.  Dropbox did that and I stored everything on the Dropbox folder. Then something happened.  Suddenly its complicated slow I have to open files in strange software Ive never heard of and isnt explained  whats a Space some files are locked nothing looks quite the same as the version I created. Why did they do this If Dropbox wanted to abandon their traditional users in favour of some smart lucrative business version that allows hundreds of coworkers to edit each others lives continuously why not just write to us and tell us to go away Im abandoning Dropbox with great reluctance.  Its a shame.
Stefan Gabler,https://userimages.trustpilot.com/5ef07b83e24707e6492ec171/73x73.png,No Location,1 star: Bad,Synchronisation nur noch mangelhaft,Synchronisation nur noch mangelhaftSeit Einfhrung der SmartSynchronisation funktioniert Dropbox nur noch uerst mangelhaft. Der Zugriff auf Dateien ist praktisch nur noch nach Download mglich wobei die Dateien nach nderungen wieder manuell hochgeladen mssen.Somit ist Dropbox als Netzlaufwerk praktisch unbrauchbar geworden.Ich werde meine Dateien auf Teams umziehen. Das funktioniert wenigstens.
